Country,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
India,13635,8500,120058,75043,11.36%,11.33%,6.86,8.01
Indonesia,1922,1190,42101,16232,4.57%,7.33%,6.72,7.73
Pakistan,1804,1218,19399,10504,9.3%,11.6%,6.13,6.49
United States,1761,1141,275905,54845,0.64%,2.08%,11.49,19.85
Brazil,1131,497,18851,8900,6%,5.58%,8.24,9.3
United Arab Emirates,727,538,10358,5557,7.02%,9.68%,6.06,7.38
United Kingdom,604,574,17407,11644,3.47%,4.93%,15.64,19.46
Bangladesh,572,347,4844,2943,11.81%,11.79%,6.41,8.37
Mexico,566,276,6565,3615,8.62%,7.63%,7.69,8.34
Philippines,546,374,11610,6769,4.7%,5.53%,7.85,10.32
Vietnam,538,460,11063,4116,4.86%,11.18%,7.65,9.09
Malaysia,493,326,7105,4226,6.94%,7.71%,7.07,8.45
Canada,437,254,9767,6301,4.47%,4.03%,10.2,12.9
Colombia,333,184,6296,3185,5.29%,5.78%,7.4,8.83
South Africa,309,244,3841,2676,8.04%,9.12%,7,9.25
Saudi Arabia,291,156,2699,1523,10.78%,10.24%,8.08,9.67
Nigeria,277,196,2633,1762,10.52%,11.12%,6.42,6.78
Singapore,238,126,3273,2152,7.27%,5.86%,8.78,12.69
Australia,222,183,6603,5025,3.36%,3.64%,13.17,18.15
Turkey,218,100,3327,1715,6.55%,5.83%,9.43,12.12
Germany,217,143,4572,3221,4.75%,4.44%,11.46,13.27
Peru,199,106,3643,1930,5.46%,5.49%,7.41,8.31
Thailand,186,93,3096,1375,6.01%,6.76%,8.1,10.46
Egypt,181,96,2204,1290,8.21%,7.44%,8.06,10.88
Sri Lanka,164,113,1591,1096,10.31%,10.31%,6.63,8.01
Kenya,158,112,1714,1027,9.22%,10.91%,6.8,7.57
Ecuador,157,99,3761,1909,4.17%,5.19%,7.23,7.95
Italy,151,104,4505,2707,3.35%,3.84%,8.86,10.67
Nepal,114,67,1252,700,9.11%,9.57%,6.76,7.34
France,111,79,4468,2264,2.48%,3.49%,11.06,15.08
Poland,105,52,3122,1776,3.36%,2.93%,9.9,13.31
Netherlands,102,64,3132,1877,3.26%,3.41%,10.84,14.58
Romania,101,65,1928,1177,5.24%,5.52%,7.78,10.09
Argentina,98,43,2051,1104,4.78%,3.89%,9.17,10.31
Chile,94,41,2400,1159,3.92%,3.54%,7.23,8.94
Spain,89,81,3311,2224,2.69%,3.64%,10.38,10.75
Russia,87,51,1871,981,4.65%,5.2%,12.06,11.67
Hong Kong,82,33,1731,958,4.74%,3.44%,8.72,12.07
Venezuela,73,22,1128,552,6.47%,3.99%,7.35,8.33
Tanzania,73,56,457,415,15.97%,13.49%,5.4,6.2
Ethiopia,65,26,691,352,9.41%,7.39%,6.69,7.54
Myanmar (Burma),64,44,2687,1462,2.38%,3.01%,5.86,7.2
Morocco,60,48,1894,822,3.17%,5.84%,8.15,8.77
Iraq,59,40,602,259,9.8%,15.44%,7.33,9.14
South Korea,57,27,2734,1920,2.08%,1.41%,4,4.59
Uzbekistan,57,20,700,245,8.14%,8.16%,6.61,7.4
Portugal,56,37,1192,812,4.7%,4.56%,7.35,9.02
Greece,54,41,1189,804,4.54%,5.1%,8.67,11.01
Qatar,54,38,611,409,8.84%,9.29%,7.45,8.16
Ghana,54,29,500,332,10.8%,8.73%,6.44,7.63
Bolivia,52,32,582,367,8.93%,8.72%,6.85,8.1
Czechia,49,24,1091,524,4.49%,4.58%,8.11,12.46
Ireland,47,33,944,593,4.98%,5.56%,8.39,11.48
Uganda,46,31,429,230,10.72%,13.48%,6.15,6.34
Jordan,41,33,508,303,8.07%,10.89%,7.22,10.53
Sweden,39,27,1103,833,3.54%,3.24%,8.88,10.92
Serbia,39,17,690,440,5.65%,3.86%,7.16,8.43
Switzerland,38,23,844,657,4.5%,3.5%,12.34,21.81
Algeria,38,25,707,348,5.37%,7.18%,8.79,14.45
Taiwan,38,25,567,287,6.7%,8.71%,8.09,11.56
Bulgaria,37,23,726,405,5.1%,5.68%,8.11,8.3
Japan,35,27,1275,588,2.75%,4.59%,6.27,7.32
Belgium,35,31,980,791,3.57%,3.92%,9.64,10.41
Austria,35,23,733,542,4.77%,4.24%,10.67,9.58
China,35,11,619,244,5.65%,4.51%,7.38,10.25
Rwanda,35,22,276,240,12.68%,9.17%,5.93,5.87
Bahrain,34,20,278,196,12.23%,10.2%,7.13,11.74
Oman,33,30,594,278,5.56%,10.79%,7.2,7.21
New Zealand,32,14,841,485,3.8%,2.89%,14.25,14.55
Azerbaijan,32,24,421,217,7.6%,11.06%,7.4,8.15
Guatemala,31,15,393,309,7.89%,4.85%,6.6,7.65
Slovakia,30,15,498,301,6.02%,4.98%,7.13,12.02
Cambodia,29,19,684,295,4.24%,6.44%,8.83,10.34
Israel,28,15,1227,778,2.28%,1.93%,12.32,19.25
Ukraine,28,15,1022,721,2.74%,2.08%,8.51,11.9
Hungary,27,15,738,538,3.66%,2.79%,9.17,12.52
El Salvador,27,21,318,212,8.49%,9.91%,6.72,6.9
Paraguay,26,5,732,244,3.55%,2.05%,7.39,7.73
Zimbabwe,26,19,237,146,10.97%,13.01%,6.3,6.03
Dominican Republic,24,16,715,374,3.36%,4.28%,7.44,8.21
Kazakhstan,24,12,435,209,5.52%,5.74%,7.67,9.81
Costa Rica,24,18,417,281,5.76%,6.41%,6.84,7.44
Honduras,24,14,321,171,7.48%,8.19%,7.31,7.47
Albania,22,11,594,207,3.7%,5.31%,5.72,7.88
Finland,22,12,574,394,3.83%,3.05%,7.23,10.33
Tunisia,21,16,356,206,5.9%,7.77%,7.88,9.15
Panama,20,4,392,173,5.1%,2.31%,6.97,7.61
