Top pages,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
https://freetoolonline.com/zip-file.html,19425,13560,464540,164123,4.18%,8.26%,9.1,9.92
https://freetoolonline.com/remove-zip-password.html,6062,2875,26802,14308,22.62%,20.09%,6.5,7.16
https://freetoolonline.com/md5-converter.html,2025,1247,31311,18070,6.47%,6.9%,8.04,9.84
https://freetoolonline.com/camera-test.html,1164,389,14374,5483,8.1%,7.09%,13.23,19.06
https://freetoolonline.com/lcd-test.html,1026,117,50595,8956,2.03%,1.31%,7.18,8.66
https://freetoolonline.com/,438,369,8402,6321,5.21%,5.84%,7.14,11.35
https://freetoolonline.com/heic-to-jpg.html,298,297,27540,21279,1.08%,1.4%,15.41,17.97
https://freetoolonline.com/extract-gif-to-image-frames.html,221,193,18411,15493,1.2%,1.25%,7.08,7.24
https://freetoolonline.com/preflight-pdf.html,156,141,2338,1582,6.67%,8.91%,6.64,7.73
https://freetoolonline.com/photo-editor.html,151,104,1270,800,11.89%,13%,11.6,19.27
https://freetoolonline.com/ffmpeg-online.html,137,71,3223,1539,4.25%,4.61%,6.95,8.06
https://freetoolonline.com/crop-image.html,106,60,1717,1011,6.17%,5.93%,6.95,8.57
https://freetoolonline.com/unzip-file.html,81,30,2951,1811,2.74%,1.66%,19.39,40.15
https://freetoolonline.com/imagemagick-online.html,71,85,663,596,10.71%,14.26%,10.19,14.51
https://freetoolonline.com/convert-time-in-millisecond-to-date.html,49,47,11537,9865,0.42%,0.48%,6.44,6.95
https://freetoolonline.com/do-nong-do-con-truc-tuyen.html,48,265,775,1028,6.19%,25.78%,4.05,4.95
https://freetoolonline.com/remove-pdf-password.html,21,9,1729,1365,1.21%,0.66%,54.97,74.43
https://freetoolonline.com/resize-image.html,20,17,660,451,3.03%,3.77%,7.68,13.28
https://freetoolonline.com/cong-cu-chuyen-doi-chu-quoc-ngu-tieng-viet-thanh-tieq-viet-kieu-moi.html,20,14,343,366,5.83%,3.83%,4.99,5.28
https://freetoolonline.com/js-unminifier.html,11,7,2715,2901,0.41%,0.24%,9.77,9.61
https://freetoolonline.com/pdf-to-html.html,9,4,696,868,1.29%,0.46%,30.86,53.79
